date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:17:23	236/236	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Jan%202016%2019:47:22%20GMT	http://rscard.novembit.com/robots.txt		(from )
01:17:25	53696/53696	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202015%2015:05:38%20GMT	http://rscard.novembit.com/	C:/My%20Web%20Sites/efefee/rscard.novembit.com/index.html	(from )
01:17:25	1257/1257	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Nov%202015%2019:19:12%20GMT	http://rscard.novembit.com/img/favicon.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/favicon.png	(from http://rscard.novembit.com/)
01:17:25	8357/8357	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Oct%202015%2003:35:10%20GMT	http://rscard.novembit.com/fonts/map-icons/css/map-icons.min.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/fonts/map-icons/css/map-icons.min.css	(from http://rscard.novembit.com/)
01:17:26	2312/2312	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Dec%202015%2010:29:34%20GMT	http://rscard.novembit.com/fonts/icomoon/style.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/fonts/icomoon/style.css	(from http://rscard.novembit.com/)
01:17:26	3686/3686	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Sep%202015%2010:28:36%20GMT	http://rscard.novembit.com/js/plugins/jquery.bxslider/jquery.bxslider.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.bxslider/jquery.bxslider.css	(from http://rscard.novembit.com/)
01:17:27	42839/42839	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Oct%202015%2017:50:38%20GMT	http://rscard.novembit.com/js/plugins/jquery.customscroll/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.customscroll/jquery.mCustomScrollbar.min.css	(from http://rscard.novembit.com/)
01:17:28	20163/20163	---M--	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2017:40:00%20GMT	http://rscard.novembit.com/js/plugins/jquery.mediaelement/mediaelementplayer.min.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.mediaelement/mediaelementplayer.min.css	(from http://rscard.novembit.com/)
01:17:29	4895/4895	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202013%2007:12:28%20GMT	http://rscard.novembit.com/js/plugins/jquery.fancybox/jquery.fancybox.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.fancybox/jquery.fancybox.css	(from http://rscard.novembit.com/)
01:17:29	1476/1476	---M--	200	added ('OK')	text/css	date:Mon,%2012%20May%202014%2018:56:20%20GMT	http://rscard.novembit.com/js/plugins/jquery.owlcarousel/owl.carousel.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.owlcarousel/owl.carousel.css	(from http://rscard.novembit.com/)
01:17:29	1665/1665	---M--	200	added ('OK')	text/css	date:Mon,%2012%20May%202014%2018:56:24%20GMT	http://rscard.novembit.com/js/plugins/jquery.owlcarousel/owl.theme.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.owlcarousel/owl.theme.css	(from http://rscard.novembit.com/)
01:17:30	6141/6141	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Nov%202015%2009:50:12%20GMT	http://rscard.novembit.com/js/plugins/jquery.optionpanel/option-panel.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/plugins/jquery.optionpanel/option-panel.css	(from http://rscard.novembit.com/)
01:17:33	134490/134490	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Dec%202015%2012:49:30%20GMT	http://rscard.novembit.com/style.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/style.css	(from http://rscard.novembit.com/)
01:17:34	64579/64579	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Dec%202015%2013:48:31%20GMT	http://rscard.novembit.com/colors/theme-color.css	C:/My%20Web%20Sites/efefee/rscard.novembit.com/colors/theme-color.css	(from http://rscard.novembit.com/)
01:17:36	6219/6219	---M--	200	added ('OK')	application/javascript	date:Sun,%2008%20Nov%202015%2003:45:18%20GMT	http://rscard.novembit.com/js/libs/modernizr.js	C:/My%20Web%20Sites/efefee/rscard.novembit.com/js/libs/modernizr.js	(from http://rscard.novembit.com/)
01:17:37	32398/32398	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:57:21%20GMT	http://rscard.novembit.com/category.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/category.html	(from http://rscard.novembit.com/)
01:17:38	23042/23042	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:59:12%20GMT	http://rscard.novembit.com/single-image.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-image.html	(from http://rscard.novembit.com/)
01:17:39	23565/23565	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:59:23%20GMT	http://rscard.novembit.com/single-slider.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-slider.html	(from http://rscard.novembit.com/)
01:17:40	24016/24016	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:59:34%20GMT	http://rscard.novembit.com/single-video.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-video.html	(from http://rscard.novembit.com/)
01:17:40	23261/23261	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:58:39%20GMT	http://rscard.novembit.com/single-audio.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-audio.html	(from http://rscard.novembit.com/)
01:17:41	23160/23160	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:59:42%20GMT	http://rscard.novembit.com/single-vimeo.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-vimeo.html	(from http://rscard.novembit.com/)
01:17:42	23182/23182	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:59:53%20GMT	http://rscard.novembit.com/single-youtube.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-youtube.html	(from http://rscard.novembit.com/)
01:17:43	23181/23181	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:58:56%20GMT	http://rscard.novembit.com/single-dailymotion.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single-dailymotion.html	(from http://rscard.novembit.com/)
01:17:44	22890/22890	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:58:23%20GMT	http://rscard.novembit.com/single.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/single.html	(from http://rscard.novembit.com/)
01:17:45	35920/35920	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2012:00:06%20GMT	http://rscard.novembit.com/typography.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/typography.html	(from http://rscard.novembit.com/)
01:17:46	14194/14194	---M--	200	added ('OK')	text/html	date:Thu,%2010%20Dec%202015%2011:56:38%20GMT	http://rscard.novembit.com/404.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/404.html	(from http://rscard.novembit.com/)
01:17:48	2606/2606	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:47:08%20GMT	http://rscard.novembit.com/img/uploads/thumb-78x56-1.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/thumb-78x56-1.jpg	(from http://rscard.novembit.com/)
01:17:48	31833/31833	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:47:02%20GMT	http://rscard.novembit.com/img/uploads/rs-photo-v2.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/rs-photo-v2.jpg	(from http://rscard.novembit.com/)
01:17:49	3539/3539	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:47:08%20GMT	http://rscard.novembit.com/img/uploads/thumb-78x56-2.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/thumb-78x56-2.jpg	(from http://rscard.novembit.com/)
01:17:49	2895/2895	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:47:10%20GMT	http://rscard.novembit.com/img/uploads/thumb-78x56-3.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/thumb-78x56-3.jpg	(from http://rscard.novembit.com/)
01:17:51	53696/53696	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202015%2015:05:38%20GMT	http://rscard.novembit.com/index.html	C:/My%20Web%20Sites/efefee/rscard.novembit.com/index-2.html	(from http://rscard.novembit.com/)
01:18:00	59433/59433	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:47:02%20GMT	http://rscard.novembit.com/img/uploads/rs-photo-v1.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/rs-photo-v1.jpg	(from http://rscard.novembit.com/)
01:18:04	71893/71893	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:44:56%20GMT	http://rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-05-610x600.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-05-610x600.jpg	(from http://rscard.novembit.com/)
01:18:05	76303/76303	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:44:58%20GMT	http://rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-05-large.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-05-large.jpg	(from http://rscard.novembit.com/)
01:18:09	19947/19947	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:45:02%20GMT	http://rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-08-289x281.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-08-289x281.jpg	(from http://rscard.novembit.com/)
01:18:09	189759/189759	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:47:02%20GMT	http://rscard.novembit.com/img/uploads/rs-cover.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/rs-cover.jpg	(from http://rscard.novembit.com/)
01:18:09	55259/55259	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:43:32%20GMT	http://rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-01-large.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-01-large.jpg	(from http://rscard.novembit.com/)
01:18:10	41711/41711	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:45:06%20GMT	http://rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-11-289x281.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-11-289x281.jpg	(from http://rscard.novembit.com/)
01:18:12	3094/3094	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202015%2009:58:35%20GMT	http://rscard.novembit.com/img/uploads/logos/logo-envato.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/logos/logo-envato.png	(from http://rscard.novembit.com/)
01:18:14	10461/10461	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202015%2008:13:35%20GMT	http://rscard.novembit.com/img/uploads/logos/logo-angularjs.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/logos/logo-angularjs.png	(from http://rscard.novembit.com/)
01:18:18	14020/14020	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202015%2009:49:39%20GMT	http://rscard.novembit.com/img/uploads/logos/logo-teaspoon.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/logos/logo-teaspoon.png	(from http://rscard.novembit.com/)
01:18:18	76308/76308	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Nov%202015%2011:45:02%20GMT	http://rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-08-large.jpg	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/portfolio/portfolio-thumb-08-large.jpg	(from http://rscard.novembit.com/)
01:18:20	8679/8679	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202015%2008:13:10%20GMT	http://rscard.novembit.com/img/uploads/logos/logo-wordpress.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/logos/logo-wordpress.png	(from http://rscard.novembit.com/)
01:18:20	7356/7356	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202015%2010:05:16%20GMT	http://rscard.novembit.com/img/uploads/logos/logo-evernote.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/logos/logo-evernote.png	(from http://rscard.novembit.com/)
01:18:21	6353/6353	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Dec%202015%2009:57:55%20GMT	http://rscard.novembit.com/img/uploads/logos/logo-compass.png	C:/My%20Web%20Sites/efefee/rscard.novembit.com/img/uploads/logos/logo-compass.png	(from http://rscard.novembit.com/)
